,Oct 23,5281664987,THREE Bd/2.0 Bath - Newly Remodeled Property,$835,3,1506, albany / el cerrito
 1253 W. 5th St,Oct 23,5281531562,"COMES WITH APPLIANCES, SPACIOUS AND AFFORDABLE - NO DOWN",$500,3,, 1253 W. 5th St
,Oct 23,5281638525,Now Leasing for 2016! Gated Community! Pool! Spa! Gym! Tour today!,$1420,4,, Chico
,Oct 23,5281614529,Charming one bed - one bath cottage style building ~ Fully Kitchen ~,$720,1,563, Chico
,Oct 23,5281611569,Perfect location!! ~ Two bedroom apartment ~ Call for more details!! ~,$925,2,896, Chico
,Oct 23,5246529856,"Looking for a New Home...Well, Look No Further!",$785,2,1000, above lookout point
,Oct 23,5266066462,spectacular views,$1200,1,950, right above lookout point
,Oct 23,5266027350,skyway 1 bdr. Vista with city lights,$1200,1,900," Chico, CA"
,Oct 23,5266080931,1421 Park Avenue,$1000,3,, hamilton city
,Oct 23,5248089508,151 W. 2nd St. (Hamilton City),$1000,3,, Paradise
,Oct 23,5253512980,Vibrant Two Bedroom/ Two Bath Now Available Call Today! [PME7],$1020,2,, OROVILLE - CANYON HIGHLANDS DR
 1105 Stewart Ave,Oct 23,5281594840,Great home in Great Neighborhood!! 3/2 over 1900 sq ft on 1/2 acre,$1350,3,1911, 1105 Stewart Ave
 152 E. Shasta Ave,Oct 23,5254977559,Only $900 Moves You In!! Brand new townhouse ready now!,$1795,3,1387, 152 E. Shasta Ave
,Oct 23,5258933144,Beautiful townhome with everything you're looking for!,$1375,3,1347, Meadow Vista
,Oct 23,5244508352,FURNISHED - Been displaced or need short term solution?,$5000,4,3500, Chico
,Oct 23,5243726257,"1 roommate needed for a classic, cozy, chico home!",$480,1,, Oroville
,Oct 23,5281540530,You Will♥ ♥ Eaton Village!!,$1000,1,, CHICO
 1467 Manzanita Ave,Oct 23,5271174936,HAVING ISSUE WITH YOUR CREDIT? WE CAN HELP YOU GET A NEW HOME,$500,3,, 1467 Manzanita Ave
,Oct 23,5281504247,Close to CSUC and Chico Downtown,$835,1,600, Oroville
 1626 E. Lassen Ave,Oct 23,5281439023,LINEMAN Students Cottage in Country,$700,1,564, 1626 E. Lassen Ave
,Oct 23,5281423190,FULLY FURNISHED ITALIAN VILLA BEAUTIFUL !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,$2399,3,2625, South Chico
 20 Betsey Way,Oct 23,5256265345,Home near Pleasant Valley High/Marigold,$1750,4,1950, 20 Betsey Way
 610 Brookwood Way,Oct 23,5281301848,Large 3+ Bedroom House with finished Basement and Attic,$1050,3,2000, 610 Brookwood Way
,Oct 23,5251765227,Spacious Family Home - Potential for a garden in the front yard?,$1400,3,1600, Citrus Ave - Chico
,Oct 23,5274691363,"4 BDR,2 Bath Fenced BY,2 car garage",$1850,4,1500, Oroville
 450 Highway 99 West Maxwell Ca,Oct 23,5246309373,SFH with garage and w/d hookups,$1250,3,, 450 Highway 99 West Maxwell Ca
