id,address,date,listing_id,listing_title,price,bedrooms,square_ft,city,state,CL_region,zip_code,coordinates,latitude,longitude,created_at,updated_at
399,"",Nov 4,5296482499,Large fitness center - Billiards available - Remote 1-car garage,"","","","",Texas,,,,31.9685988,-99.9018131,2015-11-19 22:55:12.733608,2015-11-19 22:55:12.733608
400,"",Nov 4,5299799682,Leaves Are Falling With $99 Move In...Large 1x1 $695 Monthly!!!!,"","","","",Texas,,,,31.9685988,-99.9018131,2015-11-19 22:55:12.865318,2015-11-19 22:55:12.865318
401,"",Nov 4,5299729160,Allow Your Unique Bed/ Bath W/ Private Entr.-BRAND NEW,"","","","",Texas,,,,31.9685988,-99.9018131,2015-11-19 22:55:13.00002,2015-11-19 22:55:13.00002
402,"",Nov 4,5290243203,3br/2ba Home for Rent in Sweetwater,"","","","",Texas,,,,31.9685988,-99.9018131,2015-11-19 22:55:13.138018,2015-11-19 22:55:13.138018
403,Address,Date,Listing_ID,Listing_Title,Price,Bedrooms,Square_Ft,City,State,,,,,,2015-11-19 22:55:13.263294,2015-11-19 22:55:13.263294
404, ,Nov 5,5301838491,Luxury Apartment,775,2, ,Wooster,Ohio,,,,40.8050565,-81.935143,2015-11-19 22:55:13.394209,2015-11-19 22:55:13.394209
405, ,Nov 5,5258116041,Ranch style/ W-D hook ups/ Pet friendly,520,1,576,Massillon/Tuslaw,Ohio,,,,40.7764434,-81.6096724,2015-11-19 22:55:13.52295,2015-11-19 22:55:13.52295
406, ,Nov 5,5266321600,North Canton apartment-utilities paid!,505,1,460,North,Ohio,,,,40.3838118,-81.1085744,2015-11-19 22:55:13.67185,2015-11-19 22:55:13.67185
407, ,Nov 5,5301774560,"""2 Bedroom"," 1 Bath House for RENT on FULTON""",375,2, ,Canton,,,,23.12911,113.264385,2015-11-19 22:55:13.809328,2015-11-19 22:55:13.809328
408, ,Nov 5,5301769154,One bed Ap on Rachel St for RENT !One mo free rent,395,1, ,canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:13.939083,2015-11-19 22:55:13.939083
409, ,Nov 5,5301758728,$100 OFF 1st MO RENT-2 bedapt for RENT on CONSTITUTION,475,2, ,Louisville,Ohio,,,,40.8372809,-81.2595519,2015-11-19 22:55:14.070439,2015-11-19 22:55:14.070439
410, ,Nov 5,5301761896,1 Bedroom For Rent on Rhodes ONLY $400/MONTH,400,1, ,West,Ohio,,,,40.752728,-81.0533854,2015-11-19 22:55:14.203988,2015-11-19 22:55:14.203988
411, ,Nov 5,5301760046,Very Large 1 Bedroom Apartment for RENT on FULTON,425,1, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:14.350745,2015-11-19 22:55:14.350745
412, ,Nov 5,5301757525,2 BED Apt in Plain twp on RACHEL - one mo free rent,500,2, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:14.481964,2015-11-19 22:55:14.481964
413,415 elgin nw,Nov 5,5299700341,2 bedroom home for rent no credit check,475,2, ,akroncanton,Ohio,,,,40.4172871,-82.907123,2015-11-19 22:55:14.6202,2015-11-19 22:55:14.6202
414,"""137 Lake St #2 Akron"," OH""",Nov 5,5297275964,2 Bedroom Duplex in Akron with Utilities Included,695,2, ,akroncanton,,,,,,2015-11-19 22:55:14.752585,2015-11-19 22:55:14.752585
415,"""725 Excelsior Ave Akron"," OH""",Nov 5,5297278652,4 Bedroom Home with Partially Finished Basement,745,4, ,akroncanton,,,,41.072728,-81.497459,2015-11-19 22:55:14.917202,2015-11-19 22:55:14.917202
416,"""923 Copley Rd Akron"," OH""",Nov 5,5297271860,2 Bedroom Duplex with Utilities Included,650,2, ,akroncanton,,,,41.083999,-81.555193,2015-11-19 22:55:15.049657,2015-11-19 22:55:15.049657
417, ,Nov 5,5301741984,Second-Floor 1BR/1BA Apartment with a Fireplace,847,1,771,Stow,Ohio,,,,41.1595005,-81.4403898,2015-11-19 22:55:15.191293,2015-11-19 22:55:15.191293
418,"""959 Lindsay Ave Akron"," OH""",Nov 5,5297168748,2 Bedroom Duplex Available in Akron,625,2, ,akroncanton,,,,41.042395,-81.492271,2015-11-19 22:55:15.319104,2015-11-19 22:55:15.319104
419,"""1012 Kling St Akron"," OH""",Nov 5,5297297500,4 Bedroom Home in Akron,815,4, ,akroncanton,,,,41.054283,-81.51239,2015-11-19 22:55:15.448059,2015-11-19 22:55:15.448059
420,"""437 Sherman St Akron"," OH""",Nov 5,5297300963,*SECURITY DEPOSIT SPECIAL!!! Beautiful 4 Bedroom Home*,795,4, ,akroncanton,,,,41.070931,-81.516137,2015-11-19 22:55:15.633437,2015-11-19 22:55:15.633437
421, ,Nov 5,5255456571,Great 3BR Close to Heritage Christian & Aultman Hospital,650,3, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:15.763484,2015-11-19 22:55:15.763484
422, ,Nov 5,5301722182,"""Nice 2 Bedroom"," 1 Bath Duplex Unit - On Smith Ave NW""",550,2, ,Canton,,,,23.12911,113.264385,2015-11-19 22:55:15.898472,2015-11-19 22:55:15.898472
423,"""505 Vine St Akron"," OH""",Nov 5,5297136674,Large 1 Bedroom Apartment with WIFI,515,1, ,akroncanton,,,,41.0735161,-81.5050315,2015-11-19 22:55:16.023684,2015-11-19 22:55:16.023684
424,"""26 Christie St #3 Akron"," OH""",Nov 5,5297072806,1 Bedroom Apartment Coming Up in Akron,475,1, ,akroncanton,,,,,,2015-11-19 22:55:16.153013,2015-11-19 22:55:16.153013
425,"""478 Orchard St Akron"," OH""",Nov 5,5297009306,1 Bedroom Apartment with Wifi,515,1, ,akroncanton,,,,41.074291,-81.5050009,2015-11-19 22:55:16.28364,2015-11-19 22:55:16.28364
426,"""544 Elma St Unit C Akron"," OH""",Nov 5,5296991769,1 Bedroom Apartment Coming Up in North Hill Area,475,1, ,akroncanton,,,,41.1000367,-81.5100486,2015-11-19 22:55:16.410306,2015-11-19 22:55:16.410306
427,"""1751 S Main #1 Akron"," OH""",Nov 5,5296986595,1 Bedroom Apt w/ NEW CARPET and DEPOSIT SPECIAL!,425,1, ,akroncanton,,,,,,2015-11-19 22:55:16.535296,2015-11-19 22:55:16.535296
428,"""15 S Walnut St #2 Akron"," OH""",Nov 5,5296981354,Efficiency with Deposit Special,445,4,1405,akroncanton,,,,,,2015-11-19 22:55:16.659216,2015-11-19 22:55:16.659216
429,"""437 Sherman St. Akron"," OH""",Nov 5,5255452444,4 Bedroom Home NEW LOWER PRICE!!!,795,5, ,akroncanton,,,,41.070931,-81.516137,2015-11-19 22:55:16.838003,2015-11-19 22:55:16.838003
430,"""587 Schiller Ave Akron"," OH""",Nov 5,5297303917,5 Bedroom Home Coming Up in Akron,615,2, ,akroncanton,,,,41.101267,-81.513498,2015-11-19 22:55:16.967573,2015-11-19 22:55:16.967573
431,"""1730 Harvard Ave Nw Canton"," OH""",Nov 5,5297311735,2 Bedroom Duplex in Canton,595,2, ,akroncanton,,,,40.8174756,-81.3726394,2015-11-19 22:55:17.09369,2015-11-19 22:55:17.09369
432, ,Nov 5,5301696747,2 Bedroom for $570,570, , ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:17.21906,2015-11-19 22:55:17.21906
433, ,Nov 5,5278089878,Affordable Studio Unit,375,1,600,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:17.35109,2015-11-19 22:55:17.35109
434, ,Nov 5,5301707868,Large Efficiency near U of A,395, , ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:17.486471,2015-11-19 22:55:17.486471
435, ,Nov 5,5301700511,2bdr/1ba Apartment - Newly Updated Ready to Rent!!!,500,1,1300,West,Ohio,,,,40.752728,-81.0533854,2015-11-19 22:55:17.614231,2015-11-19 22:55:17.614231
436, ,Nov 5,5301690095,3bdr/1ba House - Newly Renovated - Ready to Rent!!!,700,1,1200,East,Ohio,,,,40.6946535,-80.9539475,2015-11-19 22:55:17.743433,2015-11-19 22:55:17.743433
437, ,Nov 5,5278090781,Affordable Studio Unit,375, , ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:17.870996,2015-11-19 22:55:17.870996
438, ,Nov 5,5278486547,"""Thanksgiving Special nice spacious"," renovated 1 br Suite""",550,1, ,Akron,,,,41.0814447,-81.5190053,2015-11-19 22:55:18.008418,2015-11-19 22:55:18.008418
439, ,Nov 5,5278496219,Nice renovated 1 br suite with decorative fire place,550,3, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:18.145167,2015-11-19 22:55:18.145167
