5368 Breezewood Dr,Oct 23,5258821697,Modern 4 bed 3.5 bath house with plenty of storage,$2495,4,3301,5368 Breezewood Dr
1533 Downing Ave,Oct 23,5267777720,Spacious 2 bed 2 bath duplex in great location,$1200,2,1219,1533 Downing Ave
1245 Esplanade,Oct 23,5278632753,"NEWLY REMODELED! 2x1 Apartment, Central H/A, Great locale! HURRY!!!",$850,2,820,1245 Esplanade
175 Picholine Way,Oct 23,5266984987,3 bed 2 bath with large living area in South Chico,$1650,3,1683,175 Picholine Way
10 Alameda Park Circle,Oct 23,5254194986,Beautiful Cal Park Townhouse w/ Large Yard!,$1395,2,1452,10 Alameda Park Circle
8 Alameda Park Circle,Oct 23,5239039619,Beautiful Townhouse in Desirable California Park,$1395,2,1566,8 Alameda Park Circle
2 Springbrook Ct.,Oct 23,5266064098,Remodeled Home on Large Lot!,$1495,4,1524,2 Springbrook Ct.
 ,Oct 23,5238578775,Newer custom apt/private gate,$600,1, ,Oroville
 ,Oct 23,5282248212,2bd/1.25bth Lease Takeover!- Pet Friendly!,$859,2,855,Chico
 ,Oct 23,5282232014,QUIET-ENERGY EFFICIENT COUNTRY HOME Near Downtown,$1825,3,2600,"Chico, CA"
