Address,Date,Listing_ID,Listing_Title,Price,Bedrooms,Square_Ft,City,State,CL_regionZip_code
 ,Oct 26,5276171994,Apartment at Chestnut Arms Complex,1240,3,1506,Chico,California,chico
 ,Oct 26,5275957407,3 BED 3 BATH HOUSE TILE FLOORS CENTRAL AIR YARD PATIO GARAGE,1139,1,563,El Macero,California,chico
 ,Oct 26,5286350002,Fantastic one bedroom unit ** Fully Kitchen - Jacuzzi and Sauna **,720,2,896,Chico,California,chico
 ,Oct 26,5286340968,Conveniently located * Cozy 2 bedroom apartment * Jacuzzi and Sauna *,925,1,770,Chico,California,chico
 ,Oct 26,5286359822,"Brand new, no one has lived in it before!",1025,1,640,Eaton Road,California,chico
 ,Oct 26,5286356906,Simply Beautiful 1 BD Cottage Home Just For You!,855,2, ,Chico/CSUC/Butte,California,chico
 ,Oct 26,5286320617,"2 bed/ 1 bath, Furnished right across from CSUC, 1 month lease OK",575,2,1010,LARGE STUDIO,California,chico
 ,Oct 26,5264393406,2363 ENGLAND B DOE MILL NEIGHBORHOOD,695,3,1930,Red Bluff,California,chico
5368 Breezewood Dr,Oct 26,5286264069,2 Bedroom available ASAP!,1235,4,3301,5368 Breezewood Dr,California,chico
1533 Downing Ave,Oct 26,5260139600,"AP...13860 Hwy 36 East, Custom home, pool, views",2000,2,1219,1533 Downing Ave,California,chico
1245 Esplanade,Oct 26,5258821697,Modern 4 bed 3.5 bath house with plenty of storage,2495,2,820,1245 Esplanade,California,chico
10 Alameda Park Circle,Oct 26,5267777720,Spacious 2 bed 2 bath duplex in great location,1200,2,1452,10 Alameda Park Circle,California,chico
237 W. Lindo Ave.,Oct 26,5278632753,"NEWLY REMODELED! 2x1 Apartment, Central H/A, Great locale! HURRY!!!",850,2,1010,237 W. Lindo Ave.,California,chico
2602 East 20th Street,Oct 26,5254194986,Beautiful Cal Park Townhouse w/ Large Yard!,1395,1, ,2602 East 20th Street,California,chico
2602 East 20th Street,Oct 26,5286269691,RESERVE TODAY FOR NOVEMBER!,1235,1, ,2602 East 20th Street,California,chico
684 E 12th ST,Oct 26,5279412311,"$475 1 room available ASAP in Clean, Quiet House",475,3,1447,684 E 12th ST,California,chico
"14861 Colter Way, Magalia, CA",Oct 26,5267770814,Design-Driven Luxury Apartments,1150,2,1000,"14861 Colter Way, Magalia, CA",California,chico
 ,Oct 26,5267769567,Design-Driven Luxury Apartments,1150,1,950,Chico,California,chico
 ,Oct 26,5286227249,Nice one bed one bath!,625,4, ,above lookout point,California,chico
4042 Guntren,Oct 26,5244435767,Great Setting Next to Stream!,1100,3, ,4042 Guntren,California,chico
823 Orient,Oct 26,5280044205,Stop Looking & Start Living @ El Sereno Apartments,785,3, ,823 Orient,California,chico
18 River Wood Loop,Oct 26,5266066462,spectacular views,1200,2, ,18 River Wood Loop,California,chico
6232 Pueblo Drive,Oct 26,5286152566,*$*Today is A Great Day For Home Ownership*$*,1,3,1350,6232 Pueblo Drive,California,chico
 ,Oct 26,5258320000,Huge 4 Bedroom Home In North Chico!!,2400,3,1000,Davis,California,chico
778 Sierra View,Oct 26,5267886420,Close to Downtown! 3 Bedroom Home!,1100,1, ,778 Sierra View,California,chico
 ,Oct 26,5247848950,Beautiful Home in West Chico,1475,3, ,Sherman village apartments,California,chico
 ,Oct 26,5258325049,2 Bedroom In Magalia! Don't Miss This One!,1000,3,1490,Winton,California,chico
 ,Oct 26,5276827895,Newly remodeled 3x2 available!!!! PRICES REDUCED,2200,2,500,Paradise,California,chico
703 Oro Dam Blvd. W.,Oct 26,5286167633,3 bed house for rent,1250,2,900,703 Oro Dam Blvd. W.,California,chico
 ,Oct 26,5286155056,Beautiful Home Just 3 Blocks from Bidwell Park/One Mile,1300,3, ,RED BLUFF,California,chico
1018 Meier Dr B,Oct 26,5270182906,lease take over for apartment ASAP,1080,2, ,1018 Meier Dr B,California,chico
8 Ralland Cir C,Oct 26,5269784279,Remodeled house,1123,3, ,8 Ralland Cir C,California,chico
16138 Shoshannah Ln,Oct 26,5273079177,"WANT TO RENT: Duplex or House 1 or 2 Bd, 1 Ba, Garage or Workshop.....",700,2, ,16138 Shoshannah Ln,California,chico
25 Cameo Dr #3,Oct 26,5286108961,Butte College Students,436,1,650,25 Cameo Dr #3,California,chico
 ,Oct 26,5256983827,2 BEDROOM DUPLEX,500,2,900,Oroville,California,chico
 ,Oct 26,5286102885,1620 Neal Dow #17,695,2,900,Oroville,California,chico
 ,Oct 26,5256589477,3 bed 2 bath duplex,1225,2, ,Oroville,California,chico
815 West 5th St,Oct 26,5244903952,2 Bed 1 Bath Ralland Cir,725, , ,815 West 5th St,California,chico
 ,Oct 26,5267511811,3 Bed 2 Bath house plus bonus room,1400,2, ,Redding,California,chico
 ,Oct 26,5267527215,2 bed 1.5 bath apartment,725,3, ,RED BLUFF,California,chico
 ,Oct 26,5264498698,RV Spaces Available,436,3,875,"chico, ca",California,chico
 ,Oct 26,5264480328,Calling All Linemen for the 2016 Term!,436,3, ,hamilton city,California,chico
 ,Oct 26,5264463396,Calling All Lineman,436,3,1680,Chico,California,chico
 ,Oct 26,5257575045,815 West 5th St 1 Bedroom Apt 5-Min Walk to Campus,735,2,960,"Chico, CA",California,chico
 ,Oct 26,5275620151,1105 Del Sol Apt C,650,3,1184,CHANDLER RD.,California,chico
 ,Oct 26,5256987900,2 BEDROOM DUPLEX,500,3,1800,"Chico Mall area, 3 Miles to Chico State",California,chico
