Listing Name,Price,Details,Room_type,Reviews
Comfy Room in Trendy Brooklyn!,55,Privateroom,
Convenient room close to transport,45,Privateroom,
"NEW
                    
                      Affordable Artistic Apartment",80,Entirehome/apt,
Newly renovated historic brownstone,75,Privateroom·4.8·41reviews,
Elegant Bushwick Apartment,90,Entirehome/apt·1review,
Spacious room in Brooklyn.,75,Privateroom·4.8·72reviews,
CHERYL'S HOME STAY,40,Privateroom·2reviews,
Charming Studio Apartment,119,Entirehome/apt,
Posh 2 floor loft- comfy bedroom,60,Privateroom,
Sunny/Cozy 1BD,89,Entirehome/apt·4.8·44reviews,
Romantic loft heart of Brooklyn,129,Entirehome/apt·4.9·31reviews,
Cozy Garden Room w/Garden Access,70,Privateroom·5.0·3reviews,
Gorgeous Parlor Floor 1BR nr Subway,145,Entirehome/apt·4.7·31reviews,
Cozy&Clean#2,75,Privateroom·4.7·26reviews,
Elegantly Simple Bed-Stuy Flat,129,Entirehome/apt·4.7·33reviews,
Brownstone 1st floor Apartment.,100,Entirehome/apt·4.8·31reviews,
private room + bathroom in bushwick,110,Privateroom,
"HUGE, PRIVATE BATH, STEPS FRM TRAIN",110,Privateroom·4.5·21reviews,
